event_title,event_id,event_type,event_start,event_end,exp_attendance,exp_participants,event_host,event_url,event_address,lat,long
The Mercato: Little Italy's Farmers Market (Sat.),48778,FARMERS,2017-01-28 8:00,2017-01-28 14:00,1500/day,400,Little Italy Association of San Diego,www.littleitalymercato.com,401 West Cedar Street,32.80563232,-116.95791
San Diego Yoga Festival (4-day event),49174,ATHLETIC,2017-01-28 8:00,2017-01-28 22:00,750,100,San Diego Yoga Festival,www.sandiegoyogafestival.com,Newport Avenue & Abbott Street,32.7478167,-117.2526241
2017 Farmer's Insurance Open - PGA Tour,49161,ATHLETIC,2017-01-28 6:00,2017-01-28 18:00,105000,156,Century Club of San Diego,www.farmersinsuranceopen.com,11480 North Torrey Pines Road,32.91230955,-117.2451863
Chinese New Year Celebration - Year of the Rooster,48926,FESTIVAL,2017-01-27 23:00,2017-01-28 0:30,400,100,Indochinese Association of San Diego,,4536-4540 University Avenue,32.74980606,-117.0968504
San Diego Lunar New Year TET Festival: 3-Day Event,48923,FESTIVAL,2017-01-27 17:00,2017-01-27 22:00,6000/day,300,The Vietnamese American Youth Alliance,www.sdtet.com,8575 New Salem Street,32.91517749,-117.1398683
San Diego Yoga Festival (4-day Event),49173,ATHLETIC,2017-01-27 12:00,2017-01-27 22:00,750,100,San Diego Yoga Festival,www.sandiegoyogafestival.com,Newport Avenue & Abbott Street,32.7478167,-117.2526241
2017 Farmer's Insurance Open - PGA Tour,49160,ATHLETIC,2017-01-27 6:00,2017-01-27 18:00,105000,156,Century Club of San Diego,www.farmersinsuranceopen.com,11480 North Torrey Pines Road,32.91230955,-117.2451863
North Park Thursday Market,48674,FARMERS,2017-01-26 15:00,2017-01-26 19:30,900,70,North Park Main Street,www.northparkmarket.com,2900 North Park Way,32.74767102,-117.1305303
2017 Farmer's Insurance Open - PGA Tour,49159,ATHLETIC,2017-01-26 6:00,2017-01-26 18:00,105000,156,Century Club of San Diego,www.farmersinsuranceopen.com,11480 North Torrey Pines Road,32.91230955,-117.2451863
Ocean Beach Certified Farmer's Market (Wednesdays),48570,FARMERS,2017-01-25 16:00,2017-01-25 20:00,1200,60,Ocean Beach Merchant's Association,www.oceanbeachsandiego.com,4900 Block of Newport Avenue,32.7458016,-117.249336
Curbside Bites Food Truck Markets (Wed. Lunch),48520,FARMERS,2017-01-25 11:00,2017-01-25 14:00,300/day,25,Curbside Bites,www.curbsidebites.com,500 West B Street,32.71799441,-117.1676525
Pacific Beach Tuesday Farmer's Market,49011,FARMERS,2017-01-24 14:00,2017-01-24 19:00,800,60,Discover PB,www.pacificbeachmarket.com,4499 Bayard St,32.79687832,-117.2533648
Old Town Artisan's Market,49065,FARMERS,2017-01-22 9:00,2017-01-22 4:30,1000,100,Old Town San Diego Chamber of Commerce,,San Diego Ave & Harney St,32.75277983,-117.1949044
2017 Hillcrest Farmers' Market (Sundays),48807,FARMERS,2017-01-22 9:00,2017-01-22 14:00,2000,400,Hillcrest Business Association,www.hillcrestfarmersmarket.com,3690 Normal Street,32.7485387,-117.1498828
Carmel Valley 5K & Fun Run,48922,ATHLETIC,2017-01-22 7:30,2017-01-22 11:00,4000,100,Carmel Valley 5K,www.carmelvalley5k.com,13490 Pacific Highlands Ranch Parkway,32.9624729,-117.1903323
Golden Hill Certified Farmer's Market,48872,FARMERS,2017-01-21 9:30,2017-01-21 13:30,500/day,50,Brian's Farmer Markets,www.briansfarmermarkets.com,2700 block of B Street,32.7179192,-117.1360464
City Heights Farmer's Market (Every Saturday),48725,FARMERS,2017-01-21 9:00,2017-01-21 13:00,500/day,100,San Diego County Farm Bureau,www.sdfarmbureau.org,4300 Wightman Street,32.7479815,-117.1018393
Old Town Artisan's Market,49064,FARMERS,2017-01-21 9:00,2017-01-21 4:30,1000,100,Old Town San Diego Chamber of Commerce,,San Diego Ave & Harney St,32.75277983,-117.1949044
